City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Kirkuk,IQ,82.71,overcast clouds,35.4681,44.3922,Cihad Oteli
253,Kawalu,ID,77.04,overcast clouds,-7.3817,108.2082,West Jontor
259,Poum,NC,78.33,few clouds,-20.2333,164.0167,Hotel Landmark
265,Luganville,VU,81.09,broken clouds,-15.5333,167.1667,The Espiritu Hotel
271,Malakal,SS,78.1,overcast clouds,9.5334,31.6605,Nile Palace Hotel
272,Georgetown,MY,89.53,thunderstorm,5.4112,100.3354,Cititel Penang
274,Karwar,IN,83.07,broken clouds,14.8,74.1333,Netalco Connects
275,Saint Pete Beach,US,75.2,broken clouds,27.7253,-82.7412,Sirata Beach Resort
280,Cockburn Town,TC,79.38,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
281,Forestville,US,79.83,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
284,Kuri,KR,80.28,scattered clouds,37.5986,127.1394,U&I HOTEL in Guri
285,Somerset,US,80.46,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
286,Ambulu,ID,87.12,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
288,Nan,TH,84.22,scattered clouds,18.8333,100.6667,สะเนียน2
289,North Myrtle Beach,US,75.38,clear sky,33.816,-78.68,Avista Resort
296,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
300,Apache Junction,US,82.42,clear sky,33.4151,-111.5496,"Motel 6 Apache Junction, AZ"
303,Mackay,AU,76.68,overcast clouds,-21.15,149.2,International Lodge Motel
305,Bengkulu,ID,84.61,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
310,San Lucas,MX,75.96,overcast clouds,16.6,-92.7167,"Posada "" El rapidin"""
311,Natal,BR,77.22,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
312,Totness,SR,75.34,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
313,Pandan,PH,83.79,moderate rain,14.0453,124.1694,Bonifacio Lodge
314,Teahupoo,PF,75.16,scattered clouds,-17.8333,-149.2667,Vanira Lodge
324,Klyuchi,RU,75.33,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
330,Bosaso,SO,89.58,clear sky,11.2842,49.1816,Red Sea Hotel
334,Banda Aceh,ID,86.97,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
339,Sinnamary,GF,76.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
340,Balancan,MX,80.91,overcast clouds,17.8,-91.5333,Hotel Balam Ku
343,Karratha,AU,82.02,light rain,-20.7377,116.8463,ibis Styles Karratha
345,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
346,Guangshui,CN,81.3,overcast clouds,31.6199,113.9978,广水市雅瑞假日生态园
351,Blythe,US,83.03,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
353,Indramayu,ID,78.58,light rain,-6.3264,108.32,Grand Trisula Hotel
354,Rey Bouba,CM,78.87,overcast clouds,8.6724,14.1786,Hotel Landmark
356,Masuda,JP,77.27,few clouds,34.6667,131.85,Masuda Green Hotel Morris
359,Khandbari,NP,81.97,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
364,Sunrise Manor,US,79.79,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
365,Faya,SA,75.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
366,Srandakan,ID,86.52,broken clouds,-7.9386,110.2506,Puri Brata
380,Sao Jose Da Coroa Grande,BR,76.78,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
388,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
389,Tahoua,NE,85.98,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
390,Basco,PH,80.6,broken clouds,20.4487,121.9702,Nathaniel's Lodge
393,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
395,Alyangula,AU,84.02,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
402,Pontianak,ID,84.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
407,Ugoofaaru,MV,83.52,scattered clouds,5.6667,73.0,Ungoofaaru Inn
411,Princeton,US,83.01,broken clouds,25.5384,-80.4089,American Best Inn
413,Gayeri,BF,81.52,broken clouds,12.6497,0.4931,Hotel Landmark
415,Isangel,VU,78.51,broken clouds,-19.55,169.2667,Tanna Lodge
419,Rockland,US,78.85,clear sky,41.1668,-74.0496,National Camp Association
420,Nueva Concepcion,GT,77.05,overcast clouds,14.2,-91.3,Hotel Villa Las Flores
422,Cairns,AU,87.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
425,Saint-Pierre,RE,76.91,clear sky,-21.3393,55.4781,Alize Plage
433,Kailua,US,82.38,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
435,Haapiti,PF,80.33,few clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
441,Ko Samui,TH,89.51,few clouds,9.5357,99.9357,The Passage
444,Santa Marta,CO,84.25,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
446,Kavaratti,IN,82.67,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
448,Road Town,VG,78.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
449,Sant Pere De Ribes,ES,75.34,overcast clouds,41.2667,1.7667,Dolce Sitges Barcelona
457,Cancun,MX,84.13,haze,21.1743,-86.8466,Hotel Tankah Cancun
